Year,Month,Transect#,red ab,pinto ab,green ab,pink ab,unkn ab,ca lob,ca cumb,wart cumb,bat star,short star,giant spine sea star,sunflower star,cowry,kellet's whelk,red turban snail,keyhole limpet,rock crab,sheep/mask,gumboot chiton,rock scallop,anemome,red urchin,purple urchin,black ab,white ab,decorator crab,orange puff ball sponge,stalked tunicate,FishEatingAnemone,WhiteSpottedAnemone,cancer crab,sheep crab,sea hare,red gorgonian,decorator carb,cucumber
2016,June,50,,0,0,0,0,0,0,1,34,1,0,0,0,1,1,0,0,0,0,0,6,0,5,0,0,,,,,,,,,,,
2016,June,60,,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,2,5,18,3,34,0,0,,,,,,,,,,,
2016,June,70,0,0,0,0,0,0,1,1,35,0,0,0,0,5,4,0,0,0,0,3,3,0,2,0,0,,,,,,,,,,,
2016,June,80,1,0,0,0,0,0,0,1,35,4,0,0,0,2,8,0,0,0,1,0,10,0,20,0,0,,,,,,,,,,,
2016,June,90,,0,0,0,0,0,0,0,19,2,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,,,,,,,,,,,
2016,June,100,0,0,0,0,0,0,0,0,53,2,0,0,0,0,5,0,0,0,2,0,6,1,38,0,0,,,,,,,,,,,
2016,June,110,0,0,0,0,0,0,2,0,18,1,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,,,,,,,,,,,
2016,June,120,0,0,0,0,0,0,0,0,20,1,0,0,0,2,1,0,0,0,4,5,18,0,42,0,0,,,,,,,,,,,
2016,June,130,2,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,7,0,40,0,0,,,,,,,,,,,
2016,June,140,0,0,0,0,0,0,0,1,22,0,0,0,2,0,2,0,0,0,1,1,10,7,66,0,0,,,,,,,,,,,
2016,June,150,7,0,0,0,0,0,4,1,50,0,1,0,0,0,3,0,0,0,1,3,15,10,31,0,0,,,,,,,,,,,
2016,June,160,,0,0,0,0,0,0,1,28,0,0,0,0,0,1,0,0,0,1,1,16,9,85,0,0,,,,,,,,,,,
2009,September,90,,,,,,,,,17,,,1,,1,1,,,,,,,,,,,,1,,1,,,,,,,
2009,September,90,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2009,September,70,,,,,,,,,50,,3,,,,,,,,,,,,,,,,9,,5,,,,,,,
2009,September,140,,,,,,,,,91,,5,1,,,,,,,,,,,,,,,14,,2,,,,,,,
2009,September,100,,,,,,,,,47,,,1,,,,,,,,,,,,,,,12,,1,,,,,,,
2009,September,120,,,,,,,,,93,,,,,,,,,,,,,,,,,,7,11,3,1,,,,,,
2009,September,70,,,,,,,,,63,,4,,,,,2,,,1,,,,,,,,16,1,1,,,,,,,
2009,September,120,,,,,,,,,94,,10,,,,,,,,,,,,,,,,14,17,,6,,,,,,
2009,September,140,,,,,,,,,59,,1,2,,,1,,,,,,,,,,,1,6,8,2,1,,,,,,
