Year,Month,Transect#,ON/OFF,Stipes,Nereocystis,Pterogophora,Lami. Sech,Avg Temp
2003,June,10,,60,,,,
2003,June,10,,75,,,,
2003,June,10,,23,,,,
2003,June,10,,,2,,,
2003,June,20,,1,,,,
2003,June,20,,2,,,,
2003,June,20,,,71,,,
2003,June,30,,0,,,,
2003,June,30,,,9,,,
2003,June,40,,2,,,,
2003,June,40,,2,,,,
2003,June,40,,3,,,,
2003,June,40,,2,,,,
2003,June,40,,10,,,,
2003,June,40,,3,,,,
2003,June,40,,7,,,,
2003,June,40,,4,,,,
2003,June,40,,2,,,,
2003,June,40,,,7,,,
2003,June,50,,2,,,,
2003,June,50,,3,,,,
2003,June,50,,1,,,,
2003,June,50,,2,,,,
2003,June,50,,,24,,,
2005,September,150,off,58,,,,
2005,September,150,off,15,,,,
2005,September,150,off,,3,,,
2005,September,150,off,92,,,,
2005,September,150,off,62,,,,
2005,September,150,off,42,,,,
2005,September,150,off,50,,,,
2005,September,150,off,,4,,,
2005,September,170,off,22,,,,
2005,September,160,on,41,,,,
2005,September,160,on,4,,,,
2005,September,160,on,6,,,,
2005,September,160,on,6,,,,
2005,September,160,on,11,,,,
2005,September,160,on,6,,,,
2005,September,160,on,38,,,,
2005,September,160,on,7,,,,
2005,September,180,on,58,,,,
2005,September,180,on,48,,,,
2005,September,180,on,26,,,,
2005,September,180,on,75,,,,
2005,September,180,on,22,,,,
2005,September,180,on,16,,,,
2005,September,180,on,22,,,,
2005,September,180,on,26,,,,
2005,September,200,on,10,,,,
2005,September,200,on,11,,,,
2005,September,200,on,35,,,,
2005,September,200,on,33,,,,
2005,September,200,on,31,,,,
2005,September,200,on,18,,,,
2005,September,200,on,23,,,,
2005,September,200,on,36,,,,
2005,September,200,on,42,,,,
2005,September,200,on,66,,,,
2005,September,200,on,65,,,,
2006,May,110,ON,,2,,,
2006,May,120,ON,18,,,,
2006,May,120,ON,16,,,,
2006,May,120,ON,8,,,,
2006,May,120,ON,10,,,,
2006,May,120,ON,20,,,,
2006,May,120,ON,,5,,,
2006,May,120,ON,3,,,,
2006,May,120,ON,29,,,,
2006,May,120,ON,17,,,,
2006,May,120,ON,13,,,,
2006,May,120,ON,1,,,,
2006,May,120,ON,,17,,,
2006,May,130,ON,2,,,,
2006,May,130,ON,2,,,,
2006,May,130,ON,48,,,,
2006,May,130,ON,,3,,,
2006,May,130,ON,2,,,,
2006,May,130,ON,2,,,,
2006,May,130,ON,3,,,,
2006,May,130,ON,,1,,,
2006,May,140,ON,20,,,,
2006,May,140,ON,25,,,,
2006,May,140,ON,42,,,,
2006,May,140,ON,15,,,,
2006,May,140,ON,2,,,,
2006,May,140,ON,8,,,,
2006,May,140,ON,1,,,,
2006,May,140,ON,2,,,,
2006,May,140,ON,11,,,,
2006,May,140,ON,15,,,,
2006,May,140,ON,,51,,,
2006,May,140,ON,15,,,,
2006,May,140,ON,33,,,,
2006,May,140,ON,5,,,,
2006,May,140,ON,7,,,,
2006,May,140,ON,14,,,,
2006,May,140,ON,9,,,,
2006,May,140,ON,35,,,,
2006,May,140,ON,41,,,,
2006,May,140,ON,56,,,,
2006,May,140,ON,,1,,,
2006,May,160,ON,18,,,,
2006,May,160,ON,13,,,,
2006,May,160,ON,,126,,,
2006,May,160,ON,12,,,,
2006,May,160,ON,3,,,,
2006,May,160,ON,14,,,,
2006,May,160,ON,,138,,,
2006,May,170,ON,3,,,,
2006,May,170,ON,5,,,,
2006,May,170,ON,,109,,,
2006,May,170,ON,,16,,,
2006,May,110,OFF,45,1,,,
2006,May,110,OFF,8,,,,
2006,May,110,OFF,6,,,,
2006,May,110,OFF,,5,,,
2006,May,110,OFF,3,,,,
2006,May,110,OFF,1,,,,
2006,May,110,OFF,6,,,,
2006,May,110,OFF,11,,,,
2006,May,110,OFF,20,,,,
2006,May,110,OFF,15,,,,
2006,May,110,OFF,2,,,,
2006,May,110,OFF,5,,,,
2006,May,110,OFF,,3,,,
2006,May,130,OFF,30,,,,
2006,May,130,OFF,18,,,,
2006,May,130,OFF,16,,,,
2006,May,130,OFF,,9,,,
2006,May,130,OFF,3,,,,
2006,May,130,OFF,3,,,,
2006,May,130,OFF,15,,,,
2006,May,130,OFF,28,,,,
2006,May,130,OFF,,11,,,
2006,May,90,OFF,4,,,,
2006,May,90,OFF,1,,,,
2006,May,90,OFF,27,,,,
2006,May,90,OFF,4,,,,
2006,May,90,OFF,28,,,,
2006,May,90,OFF,10,,,,
2006,May,90,OFF,24,,,,
2006,May,90,OFF,17,,,,
2006,May,90,OFF,32,,,,
2006,May,90,OFF,34,,,,
2006,May,90,OFF,24,,,,
2006,May,90,OFF,30,,,,
2006,May,90,OFF,41,,,,
2006,May,70,OFF,39,,,,
2006,May,70,OFF,20,,,,
2006,May,70,OFF,24,,,,
2006,May,70,OFF,21,,,,
2006,May,170,OFF,18,,,,
2006,May,170,OFF,17,,,,
2006,May,170,OFF,,18,,,
2006,May,170,OFF,27,,,,
2006,May,170,OFF,,9,,,
2006,May,190,OFF,,11,,,
2006,May,150,OFF,4,,,,
2006,May,150,OFF,4,,,,
2006,May,150,OFF,1,,,,
2006,May,150,OFF,4,,,,
2006,May,150,OFF,4,,,,
2006,May,150,OFF,,3,,,
2006,September,120,OFF,20,,,,
2006,September,120,OFF,12,,,,
2006,September,120,OFF,35,,,,
2006,September,120,OFF,30,,,,
2006,September,120,OFF,1,,,,
2006,September,120,OFF,8,,,,
2006,September,120,OFF,1,,,,
2006,September,120,OFF,2,,,,
2006,September,120,OFF,2,,,,
2006,September,120,OFF,4,,,,
